1,15.9
2,25
3,27.9
4,419.6
5,201.3
6,197.6
7,296.4
8,177.3
9,57
10,267.3
11,34.1
12,43.3
13,67.3
14,86.1
15,95.3
16,389.1
17,296.2
18,480.4
19,417.7
20,376.2
21,337
22,37
23,19.3
24,84.3
25,43.1
26,5.1
27,95.8
28,35
29,311.9
30,239.4
31,326.9
32,299
33,303
34,126.2
35,35.5
36,47.9
37,33.3
38,8.7
39,64.7
40,59.3
41,191.6
42,330.4
43,62.8
44,190.5
45,370
46,3
47,31.6
48,2
49,61.8
50,57.1
51,57.1
52,158.1
53,200
54,243.2
55,209.4
56,66
57,125.6
58,9
59,5.9
60,1.2
61,9.4
62,35.7
63,128.1
64,217.5
65,402.6
66,591.2
67,133.6
68,378.3
69,133.1
70,0
71,3
72,1.3
73,9.2
74,104
75,99.6
76,172.8
77,654.8
78,295.2
79,270.7
80,230.1
81,161.3
82,85.2
83,102.1
84,39.3
85,23.3
86,23.5
87,46.6
88,190.4
89,200.1
90,320.1
91,84.1
92,317
93,160.1
94,18.7
95,1.6
96,16
97,97.9
98,52.7
99,73.6
100,114.6
101,303.2
102,876.3
103,174.5
104,228.4
105,222
106,141.5
107,63.7
108,14.5
109,5.3
110,0.5
111,211.4
112,112.4
113,220.3
114,275.4
115,223.5
116,232.6
117,37.6
118,24.5
119,48.8
120,50.3
121,72.9
122,72.3
123,19.8
124,247.1
125,549.7
126,330.3
127,163.7
128,236.1
129,572.4
130,29.6
131,2.2
132,10.6
